Distance Matrix (rows/cols: 0=depot, 1..n=customers):
           0      1      2      3      4      5      6      7      8      9     10     11     12     13     14     15     16     17     18     19     20     21     22     23     24     25     26     27     28     29     30     31     32     33     34     35     36     37     38     39     40     41     42     43     44     45     46     47     48     49     50     51     52     53     54     55     56     57     58     59     60     61     62     63     64     65     66     67     68     69     70     71     72     73     74     75     76     77     78     79     80     81     82     83     84     85     86     87     88     89     90     91     92     93     94     95     96     97     98     99    100
  10   25.50  15.56  43.29  29.15  47.17  33.54  30.41  14.14  26.25  25.00   0.00  11.18  32.02  35.00  52.20  55.00  44.72  39.05  22.36  15.00  15.81  42.72  52.20  60.42  43.01  53.15  33.54  20.62  25.50  38.47  10.00   8.06  10.30  24.35  35.36  33.38  28.00  41.23  60.42  56.60  36.40  54.34  48.37  57.43  49.77  32.56  30.46  22.36  18.79  25.30  21.40  19.10  17.26  29.83  41.11  49.58  53.23  48.04  34.53  37.11  29.07  40.25   6.32   9.49  22.67  36.24  23.02  66.29  33.42  14.76   8.06  28.16  47.17  45.22  49.65  52.55  26.17  28.60  32.02  29.55  34.71  25.71  19.85  28.02  34.67  40.50  49.40  42.05   8.94  25.32   7.07  43.66  38.83  37.95  33.24  36.35  33.96  39.32  40.52  35.44  43.68
  11   33.54  26.40  50.29  40.31  57.01  35.36  35.36  15.00  24.17  35.36  11.18   0.00  42.43  41.23  55.23  60.83  46.10  38.08  25.00   7.07  25.00  51.48  60.42  69.46  54.08  63.64  43.01  29.15  35.00  49.65  20.62  17.03  15.52  35.47  46.10  43.00  18.68  45.00  61.85  66.40  44.72  62.03  53.15  62.07  51.79  30.41  24.76  15.00  14.76  14.32  32.45  29.83  23.09  38.01  51.62  60.11  62.43  54.34  42.15  41.01  31.14  41.77   8.06   8.06  13.00  43.68  30.08  76.22  44.41  24.76  19.24  37.12  55.95  53.67  58.14  61.29  37.01  39.66  43.01  40.72  45.61  36.69  18.68  28.64  35.17  43.19  49.65  47.68  14.32  30.59  11.18  46.27  43.05  41.05  38.47  41.30  38.05  44.28  44.01  39.00  47.04
  12   15.00  16.64  23.43  11.18  15.81  35.36  25.50  33.54  40.79  25.50  32.02  42.43   0.00  22.36  43.01  36.06  42.72  45.28  30.41  43.01  30.41  15.81  25.50  30.41  15.00  21.21   7.07  15.81   9.22  15.65  26.93  25.50  37.16  17.26  25.00  32.70  54.12  33.54  54.08  25.08  14.14  29.12  34.71  41.87  44.29  44.10  49.73  46.96  40.72  55.00  12.37  23.02  24.35  13.60   9.22  17.69  23.19  29.21  16.64  31.02  33.02  39.56  34.71  41.05  54.67  43.68  38.01  34.48   7.21  17.69  24.70  33.73  19.24  18.97  22.36  24.02   7.07   8.54  20.25  14.76   6.32  19.65  37.00  36.06  39.20  36.40  49.04  27.80  29.41  24.00  37.22  38.48  30.87  33.84  25.30  27.31  29.12  28.65  34.01  31.32  36.24
  13   11.18  26.40   9.43  32.02  25.50  15.81   7.07  26.93  26.91  43.01  35.00  41.23  22.36   0.00  21.21  20.00  20.62  25.50  18.03  38.08  42.72  15.81  21.21  32.02  36.40  35.36  15.81  15.81  16.28  38.01  36.40  27.02  44.28  35.47  46.10  51.86  44.82  11.18  32.02  32.70  10.00  21.63  14.32  23.09  21.95  27.29  36.24  38.01  31.91  49.24  27.80  38.08  18.25   9.22  27.29  33.06  26.42  13.15   6.08   9.06  15.81  18.03  33.54  44.10  54.12  61.06  51.62  42.06  29.53  23.09  31.78  50.77  19.24  16.12  20.00  23.60  25.50  29.21  41.11  35.47  28.64  38.29  26.63  20.00  19.92  14.32  26.93   7.28  27.29  10.77  42.01  16.16   8.54  12.04   4.47   5.10   8.25   6.40  11.70  10.05  13.89
  14   32.02  46.87  21.19  53.15  41.23  20.00  22.36  40.31  33.38  64.03  52.20  55.23  43.01  21.21   0.00  15.81  11.18  22.36  30.41  50.00  62.65  31.62  30.00  40.31  55.90  50.99  36.06  36.06  37.48  58.52  55.90  44.94  62.30  56.64  67.27  73.00  51.66  11.18  11.18  45.04  29.15  27.17   9.22  10.63   5.66  29.41  40.16  46.53  42.05  58.69  48.92  58.82  35.11  30.41  46.10  49.73  38.05  17.12  26.40  15.23  24.08  14.32  48.84  60.21  67.00  81.84  71.59  52.24  50.22  43.05  50.99  71.61  32.56  29.83  31.14  34.01  46.69  50.33  62.29  56.64  49.09  59.46  37.00  27.02  21.38  12.04  13.60  15.26  43.42  27.31  59.20   9.00  13.89  14.32  20.25  17.20  18.38  14.87  11.70  16.76   8.54
  15   30.41  45.35  13.00  47.17  29.15  29.15  25.50  46.10  42.94  60.42  55.00  60.83  36.06  20.00  15.81   0.00  25.00  35.36  36.40  57.01  61.85  21.21  15.81  25.00  46.10  38.08  29.15  35.36  33.84  50.25  55.90  47.01  64.20  52.33  61.03  68.48  61.72  18.03  25.00  30.81  22.36  12.17   9.22   7.28  21.02  40.80  51.31  55.54  49.98  67.42  45.31  56.30  38.12  26.93  36.12  37.59  24.04   7.28  21.84  21.02  31.78  26.17  53.34  64.07  73.55  78.79  70.60  37.00  42.80  42.58  51.48  68.54  20.25  18.44  17.89  19.92  41.59  44.42  56.30  50.77  41.23  55.01  44.60  35.78  32.20  22.02  29.07  13.15  47.17  30.27  62.01  20.52  18.79  22.47  22.36  19.65  23.41  16.76  19.42  23.26  17.69
  16   29.15  42.45  25.18  51.48  45.00  11.18  18.03  31.62  23.00  60.21  44.72  46.10  42.72  20.62  11.18  25.00   0.00  11.18  22.36  40.31  57.01  35.00  36.40  47.43  57.01  55.00  36.40  32.02  35.36  58.31  50.00  38.28  55.01  53.60  65.19  69.53  40.79  10.00  15.81  50.64  30.41  34.54  16.12  21.40   6.08  18.44  29.12  36.06  32.14  48.17  45.80  54.45  28.60  29.15  47.85  53.08  43.74  23.41  26.68  11.70  15.65   4.47  40.50  51.87  57.22  77.16  65.80  58.94  49.77  38.18  45.00  67.18  37.22  34.13  36.67  40.02  44.78  48.76  60.21  54.71  49.04  56.40  27.46  17.46  11.05   6.32   6.32  18.11  35.78  21.93  51.48   5.10  12.17   8.94  17.46  15.52  13.89  15.03   9.06  11.66   8.25
  17   30.41  40.71  32.70  52.20  50.99  10.00  20.00  25.00  13.93  58.31  39.05  38.08  45.28  25.50  22.36  35.36  11.18   0.00  18.03  31.62  53.15  41.23  44.72  55.90  60.21  60.83  40.00  31.62  36.67  60.21  46.10  34.06  49.20  52.80  65.00  67.74  30.15  18.03  25.00  57.87  35.36  43.57  26.17  32.45  17.09   8.06  18.25  26.17  23.41  38.01  45.31  52.15  25.55  32.02  52.01  58.42  51.26  32.45  31.26  17.09  12.65   9.22  33.84  44.78  48.05  73.88  61.52  66.85  51.79  36.24  41.23  64.40  44.27  41.11  44.38  47.93  45.61  49.73  60.17  55.03  51.48  55.46  19.72  11.40   6.08  13.60  12.04  25.94  30.41  21.59  45.22  14.87  18.79  14.32  21.21  20.88  17.26  21.93  16.64  15.52  17.69
  18   15.81  22.85  27.46  35.36  40.31  11.18  11.18  10.00  10.44  40.31  22.36  25.00  30.41  18.03  30.41  36.40  22.36  18.03   0.00  20.62  35.36  32.02  39.05  49.50  45.28  49.24  26.93  15.00  21.21  44.05  28.28  16.28  32.65  35.11  47.43  49.74  26.91  20.00  38.08  48.83  25.00  39.66  28.28  37.12  27.51  14.14  19.70  20.00  13.89  31.30  27.89  34.13   7.62  19.24  38.60  46.24  43.28  30.46  21.26  16.03   6.71  17.89  18.44  29.83  37.34  55.97  43.93  58.60  36.01  18.38  23.35  46.40  36.12  33.24  37.48  41.01  29.07  33.14  42.72  37.85  36.12  37.70   8.60   6.71  12.73  18.44  27.20  23.41  13.42   7.81  29.15  21.59  18.11  16.12  14.32  16.76  13.15  19.65  19.03  14.00  22.09
  19   32.02  28.23  47.42  42.72  56.57  30.00  31.62  11.18  17.72  40.00  15.00   7.07  43.01  38.08  50.00  57.01  40.31  31.62  20.62   0.00  30.41  50.00  58.31  68.01  55.90  64.03  42.43  28.28  34.71  52.20  25.00  17.89  21.93  38.83  50.25  48.26  13.00  40.31  55.90  65.80  43.01  59.48  48.84  57.56  46.17  23.77  17.69   8.06   8.25  12.04  34.54  34.06  20.81  36.40  52.20  60.61  61.22  50.92  39.96  36.50  26.08  36.12   9.22  15.00  17.00  49.98  36.40  75.69  46.07  25.55  22.36  42.76  54.41  51.87  56.30  59.64  38.47  41.63  46.69  43.68  47.01  40.45  13.00  23.02  29.27  38.01  43.42  43.97  13.60  27.31  17.46  41.00  38.64  36.12  34.79  37.36  33.73  40.26  39.20  34.37  42.11
  20   31.62  16.49  49.03  22.36  46.10  46.10  40.31  29.15  41.34  11.18  15.81  25.00  30.41  42.72  62.65  61.85  57.01  53.15  35.36  30.41   0.00  45.00  55.00  60.83  36.06  49.24  35.00  26.93  28.28  29.83   7.07  19.10  10.77  15.26  22.36  18.00  43.29  51.48  72.11  55.08  40.31  58.08  57.01  65.79  61.29  47.43  46.24  38.08  34.54  39.12  18.11   8.06  28.43  34.93  37.95  45.69  53.60  54.57  40.02  47.51  41.77  52.63  22.14  18.44  32.31  20.81   8.94  63.91  28.23  19.70  12.04  12.37  49.04  48.01  52.01  54.15  23.35  23.41  20.62  20.81  30.08  14.87  34.99  41.77  48.08  51.87  62.37  49.98  23.02  35.51  14.14  54.92  48.76  49.09  42.49  45.62  44.42  48.33  51.11  46.32  54.20
  21   18.03  29.27  10.44  26.93  10.00  31.62  22.36  39.05  41.88  41.23  42.72  51.48  15.81  15.81  31.62  21.21  35.00  41.23  32.02  50.00  45.00   0.00  10.00  18.03  25.00  20.00  10.00  22.36  17.46  29.07  40.31  34.93  50.01  32.98  40.31  48.47  58.73  25.00  42.72  17.00   7.07  13.34  22.47  27.80  34.53  42.95  51.31  51.62  45.25  61.85  27.07  38.21  29.21  13.60  15.00  18.25  11.31  15.26  10.82  24.33  31.30  33.24  43.42  52.20  64.41  59.48  53.15  26.63  21.95  28.16  36.88  49.48   4.47   3.16   7.07   9.85  22.36  24.35  35.78  30.46  20.25  35.44  40.36  35.36  35.74  29.07  41.05  17.12  37.22  24.21  49.04  30.02  23.09  27.29  20.25  20.40  24.04  20.02  26.02  25.71  27.07
  22   26.93  39.20  12.21  36.40  14.14  36.06  28.28  47.17  48.10  50.99  52.20  60.42  25.50  21.21  30.00  15.81  36.40  44.72  39.05  58.31  55.00  10.00   0.00  11.18  32.02  22.36  20.00  31.62  27.29  37.22  50.25  44.27  59.84  42.76  49.24  57.87  65.95  26.93  40.31  15.13  15.81   4.24  21.10  23.09  34.23  48.01  57.38  59.03  52.80  69.89  37.05  48.17  37.59  22.47  22.47  22.20   8.25  13.15  18.36  27.78  36.88  35.85  52.39  61.68  73.41  69.12  63.13  22.56  31.02  37.85  46.69  59.23   6.32   7.07   3.16   4.12  32.25  33.96  44.94  39.85  29.15  45.12  47.63  41.11  39.96  31.38  41.77  18.79  46.10  31.40  58.69  31.32  25.94  30.41  25.50  24.41  28.60  22.83  28.23  29.68  28.16
  23   36.06  46.17  23.32  40.00  15.00  47.17  39.05  57.01  58.90  55.00  60.42  69.46  30.41  32.02  40.31  25.00  47.43  55.90  49.50  68.01  60.83  18.03  11.18   0.00  31.62  18.03  26.93  40.31  34.93  38.08  57.01  52.77  67.05  47.04  50.99  60.53  76.38  38.08  50.00   8.60  25.00  13.15  31.78  32.06  44.91  59.08  68.25  69.35  63.03  79.81  42.76  53.34  47.20  31.62  24.08  19.70   7.28  24.04  28.32  38.95  47.80  47.01  61.40  69.86  82.37  72.34  68.26  12.00  34.01  45.69  54.08  63.03  13.60  16.28  12.04   8.49  37.48  38.05  47.38  43.05  32.02  49.00  58.00  52.01  51.11  42.54  52.63  29.97  55.23  41.73  66.48  42.38  37.12  41.59  36.40  35.51  39.66  34.00  39.40  40.82  39.22
  24   30.00  27.78  34.99  14.14  18.03  50.25  40.31  47.43  55.58  26.93  43.01  54.08  15.00  36.40  55.90  46.10  57.01  60.21  45.28  55.90  36.06  25.00  32.02  31.62   0.00  15.00  20.62  30.41  24.08   7.07  35.36  38.01  45.34  20.81  20.00  30.07  67.78  47.43  67.08  23.54  26.93  36.24  47.01  52.80  57.94  59.08  64.33  60.75  54.71  67.60  21.63  28.02  38.83  28.28  10.00  12.17  25.94  40.22  30.36  45.35  48.01  54.13  47.01  50.99  65.30  42.11  41.23  30.07   9.85  30.46  35.00  33.96  26.17  27.66  29.07  28.84  17.46  14.42  17.46  15.26   9.22  21.47  51.42  51.04  54.15  50.70  63.32  40.72  42.54  39.00  46.69  52.50  44.92  48.27  39.81  41.48  43.74  42.38  48.08  45.89  49.98
  25   33.54  37.64  30.15  26.93  10.00  50.99  41.23  54.08  59.62  41.23  53.15  63.64  21.21  35.36  50.99  38.08  55.00  60.83  49.24  64.03  49.24  20.00  22.36  18.03  15.00   0.00  22.36  36.06  29.41  22.02  47.17  46.69  57.45  34.18  35.00  45.04  74.63  45.00  61.85   9.43  25.50  26.42  41.77  45.31  54.33  61.68  68.94  67.42  61.06  76.06  32.45  41.23  44.42  30.08  12.04   3.61  14.42  33.96  29.61  44.18  50.00  53.15  55.90  62.01  75.82  57.08  55.36  15.13  21.02  38.90  45.61  48.66  18.44  21.21  20.25  18.36  27.20  25.94  32.25  29.12  19.24  35.44  56.82  53.76  55.11  49.04  61.03  37.05  50.45  41.79  58.01  50.01  43.05  47.17  39.62  40.20  43.57  40.01  46.01  45.40  47.04
  26   11.18  19.42  16.40  18.03  14.14  30.00  20.00  32.02  37.34  31.62  33.54  43.01   7.07  15.81  36.06  29.15  36.40  40.00  26.93  42.43  35.00  10.00  20.00  26.93  20.62  22.36   0.00  14.14   8.06  22.47  30.41  26.08  40.26  23.41  32.02  39.36  52.43  26.93  47.17  23.43   7.07  23.19  27.66  34.83  37.58  39.81  46.62  45.22  38.83  54.45  17.12  28.28  22.20   8.06  12.04  19.31  19.70  22.20   9.85  24.74  28.28  33.54  35.00  42.95  55.76  49.98  43.19  33.30  14.21  18.79  27.20  39.85  14.14  13.04  17.03  19.42  12.65  15.26  27.20  21.63  13.04  26.00  34.48  31.78  34.01  30.08  42.72  20.81  29.07  19.65  39.56  31.95  24.35  27.66  19.24  20.88  23.19  21.93  27.51  25.32  29.55
  27    5.00  10.82  23.00  20.62  28.28  22.36  14.14  18.03  25.18  28.28  20.62  29.15  15.81  15.81  36.06  35.36  32.02  31.62  15.00  28.28  26.93  22.36  31.62  40.31  30.41  36.06  14.14   0.00   6.71  29.07  20.62  12.65  29.00  21.63  33.54  37.54  38.59  25.00  46.10  37.54  15.81  33.73  30.08  38.90  35.38  29.07  33.96  31.38  25.06  40.31  13.89  22.80   8.54   9.22  24.60  32.76  33.29  28.16  14.04  21.26  18.97  28.02  21.10  30.08  42.06  45.80  35.85  47.42  21.02   7.28  16.12  35.61  26.83  24.70  29.15  32.20  14.14  18.25  28.64  23.41  21.21  24.41  21.19  21.21  25.63  26.17  38.01  23.09  15.00  10.30  27.29  29.00  22.20  23.35  15.81  18.87  18.38  21.47  24.84  20.52  27.80
  28    6.32  12.00  20.88  16.12  22.02  26.93  17.46  24.70  31.58  26.93  25.50  35.00   9.22  16.28  37.48  33.84  35.36  36.67  21.21  34.71  28.28  17.46  27.29  34.93  24.08  29.41   8.06   6.71   0.00  23.54  23.02  18.03  32.56  19.21  30.00  35.61  45.28  27.02  48.17  31.40  12.04  30.02  30.23  38.47  37.80  35.01  40.52  38.08  31.76  46.75  11.66  22.47  15.23   7.21  17.89  26.08  27.73  26.57  12.08  23.85  24.19  31.78  27.02  34.93  47.71  45.18  36.88  41.23  15.13  10.77  19.42  34.89  21.84  20.22  24.52  27.20   9.43  13.42  25.00  19.42  15.00  22.02  27.86  27.00  30.59  29.15  41.59  23.02  21.21  15.13  31.62  31.62  24.21  26.42  18.03  20.62  21.47  22.63  27.20  23.71  29.83
  29   29.83  24.04  38.29   9.49  23.77  50.45  40.80  44.72  54.01  20.12  38.47  49.65  15.65  38.01  58.52  50.25  58.31  60.21  44.05  52.20  29.83  29.07  37.22  38.08   7.07  22.02  22.47  29.07  23.54   0.00  30.00  34.48  39.62  14.87  13.04  23.02  64.56  49.19  69.64  30.27  29.41  41.34  50.00  56.59  59.94  58.14  62.29  57.72  51.97  63.56  17.72  21.93  37.01  29.15  14.76  19.03  31.95  43.86  32.25  46.62  47.68  55.03  43.08  45.80  60.22  35.06  34.44  37.12   8.54  27.46  30.41  26.93  31.06  32.02  34.13  34.44  15.00  11.05  10.44   9.22   9.43  15.00  49.25  50.25  54.13  52.00  64.62  43.27  39.29  38.64  41.40  54.13  46.52  49.40  40.85  42.95  44.60  44.29  49.66  46.82  51.88
  30   25.50  11.05  43.29  21.21  42.72  39.05  33.54  22.36  34.48  15.00  10.00  20.62  26.93  36.40  55.90  55.90  50.00  46.10  28.28  25.00   7.07  40.31  50.25  57.01  35.36  47.17  30.41  20.62  23.02  30.00   0.00  12.04  10.30  15.26  25.50  23.54  38.00  44.72  65.19  52.00  35.00  53.04  50.60  59.48  54.38  40.50  39.85  32.25  28.16  34.93  14.76   9.22  21.40  29.15  35.36  43.57  49.73  48.66  34.23  40.71  34.71  45.61  16.12  15.81  30.23  27.80  15.81  61.27  26.40  13.34   5.00  18.79  44.55  43.19  47.38  49.82  20.12  21.40  22.47  20.81  28.02  16.16  28.18  34.71  41.01  44.94  55.32  43.68  16.12  28.65  11.40  48.02  42.05  42.19  35.85  39.00  37.59  41.79  44.29  39.45  47.41
  31   17.46  10.44  35.23  25.00  40.00  27.20  22.80  11.18  22.85  25.30   8.06  17.03  25.50  27.02  44.94  47.01  38.28  34.06  16.28  17.89  19.10  34.93  44.27  52.77  38.01  46.69  26.08  12.65  18.03  34.48  12.04   0.00  17.46  22.00  34.13  34.54  30.08  33.84  53.71  49.41  28.46  46.32  40.61  49.65  42.94  28.65  29.27  23.35  18.00  29.68  16.76  18.97   9.85  21.84  34.71  43.19  45.65  40.01  26.48  29.73  22.80  33.84   9.22  17.46  29.68  39.82  27.66  59.20  28.18   7.81   7.21  30.53  39.40  37.34  41.79  44.78  20.59  23.77  30.00  26.31  29.15  24.08  16.76  22.67  29.00  33.54  43.42  34.13   5.00  17.72  15.00  36.67  31.32  30.87  25.50  28.64  26.57  31.58  33.24  28.23  36.40
  32   34.00  20.88  52.00  31.24  52.92  43.83  40.26  24.21  36.07  21.93  10.30  15.52  37.16  44.28  62.30  64.20  55.01  49.20  32.65  21.93  10.77  50.01  59.84  67.05  45.34  57.45  40.26  29.00  32.56  39.62  10.30  17.46   0.00  24.76  33.11  28.28  34.21  51.24  70.68  62.24  44.28  62.39  58.05  67.08  60.01  42.45  39.12  29.97  27.80  29.02  25.06  17.80  27.20  38.05  45.65  53.85  59.77  57.08  43.01  47.13  39.36  50.54  15.56   8.00  21.54  28.16  14.56  71.55  36.62  22.09  13.15  22.02  54.34  52.77  57.07  59.67  30.41  31.62  31.06  30.41  38.28  25.00  29.73  38.28  44.94  50.70  59.68  51.48  19.24  35.17   4.47  53.85  48.76  48.10  42.95  46.10  43.97  49.03  50.60  45.54  53.76
